# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat May 24 15:50:14 CST 2025 [seed=1748073007096]
# -window -working -options
state	country.coefficients1	country.coefficients2	country.coefficients3	country.coefficients4	country.coefficients5	country.coefficients6	country.coefficients7	country.coefficients8	country.coefficients9	country.coefficients10	country.coefficients11	country.coefficients12	country.coefficients13	country.coefficients14	country.coefficients15	country.coefIndicators1	country.coefIndicators2	country.coefIndicators3	country.coefIndicators4	country.coefIndicators5	country.coefIndicators6	country.coefIndicators7	country.coefIndicators8	country.coefIndicators9	country.coefIndicators10	country.coefIndicators11	country.coefIndicators12	country.coefIndicators13	country.coefIndicators14	country.coefIndicators15	country.coefficientsTimesIndicators1	country.coefficientsTimesIndicators2	country.coefficientsTimesIndicators3	country.coefficientsTimesIndicators4	country.coefficientsTimesIndicators5	country.coefficientsTimesIndicators6	country.coefficientsTimesIndicators7	country.coefficientsTimesIndicators8	country.coefficientsTimesIndicators9	country.coefficientsTimesIndicators10	country.coefficientsTimesIndicators11	country.coefficientsTimesIndicators12	country.coefficientsTimesIndicators13	country.coefficientsTimesIndicators14	country.coefficientsTimesIndicators15
200000	-1.4478071401279398	-0.9172213697965949	1.8620313652201976	3.1363725802369915	-0.6355646393353892	1.8486887048284428	-0.3253928809019525	1.7292512003864555	0.8352412802230961	1.5929180691021831	1.5035423522166467	-0.8221091324253164	-0.6784087493009691	1.9624850996229712	0.5961252040478028	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-1.4478071401279398	-0.0	1.8620313652201976	0.0	-0.6355646393353892	1.8486887048284428	-0.3253928809019525	0.0	0.0	0.0	0.0	-0.0	-0.0	1.9624850996229712	0.5961252040478028
220000	-1.3879841962147976	-2.736635455042012	1.8753374361886062	3.5731698484293353	-0.6739002916670145	2.064772225512721	-0.3688954483505408	-1.6327125953910844	3.3664776373775123	2.11075926497152	-1.5444080049347444	1.8608608974563905	0.6928237226277838	1.4917278603890862	0.5924566182563614	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-1.3879841962147976	-0.0	1.8753374361886062	0.0	-0.6739002916670145	2.064772225512721	-0.3688954483505408	-0.0	0.0	0.0	-0.0	0.0	0.0	1.4917278603890862	0.5924566182563614
240000	-0.9883078492935388	-3.315383348459193	1.607717036203904	3.4659363191864467	-0.6935163334089401	1.9745339164457416	-0.31430185543462297	-0.55601073988344	1.3190454262401061	3.7853750699301285	-2.0875801407981647	2.9904113430529367	5.101404769682862	1.0691141052636837	0.430193131629705	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.9883078492935388	-0.0	1.607717036203904	0.0	-0.6935163334089401	1.9745339164457416	-0.31430185543462297	-0.0	0.0	0.0	-0.0	0.0	0.0	1.0691141052636837	0.430193131629705
260000	-0.832373660804083	-4.116956712410404	1.1244514165861863	3.1666588723111255	-0.7226985763915089	1.8626174094274661	-0.34315381265657885	-1.6168456228581356	-0.6395799990020414	2.8602085061606584	-1.4469309625776956	1.0210421163024657	0.12724881854432127	1.741796332306537	0.4540871550551583	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	-0.832373660804083	-0.0	1.1244514165861863	0.0	-0.7226985763915089	1.8626174094274661	-0.34315381265657885	-0.0	-0.0	0.0	-0.0	1.0210421163024657	0.0	1.741796332306537	0.4540871550551583
280000	-0.8396090334154437	0.47142865682542956	1.271510360031078	1.254777949609316	-0.8759937471432075	1.576289249433467	-0.5206936960774111	-5.174516235776172	-3.795894811762927	2.116078179425566	-3.2191038493368134	-0.35161415957666653	-1.1476449538472573	1.7813492297513376	0.6806630009844118	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.8396090334154437	0.0	1.271510360031078	0.0	-0.8759937471432075	1.576289249433467	-0.5206936960774111	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	1.7813492297513376	0.6806630009844118
300000	-1.4866562706648798	-0.7831171879274359	2.170065592294215	1.1127019265453513	-0.6695080906693138	2.7164995101452436	-0.3268117010237226	0.30973430809329605	0.026956349032435573	-0.4968431289168876	-0.07263034679046132	0.9017199756664009	-2.2872360516278096	2.062133595502255	0.5216681598336884	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-1.4866562706648798	-0.0	2.170065592294215	0.0	-0.6695080906693138	2.7164995101452436	-0.3268117010237226	0.0	0.0	-0.0	-0.0	0.0	-0.0	2.062133595502255	0.5216681598336884
320000	-1.3810754025055658	0.7429372187400791	2.218092012585988	-2.825617417941356	-0.7204470312683962	2.6868244111740975	-0.4629616965058535	-3.933820607449679	1.9323482880001597	0.8980922183155381	-3.119324913747378	3.888706044756668	1.2199897552197123	0.7635506504859384	0.6158793982122706	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-1.3810754025055658	0.0	2.218092012585988	-0.0	-0.7204470312683962	2.6868244111740975	-0.4629616965058535	-0.0	0.0	0.0	-0.0	0.0	0.0	0.7635506504859384	0.6158793982122706
340000	-1.4700218927617488	-2.3258635278308057	2.219707908559099	0.04104797047792021	-0.727563924386373	2.7665351832077008	-0.23391660891820865	-3.8956988779000326	2.152793219422785	-2.128767932662652	-0.012908988449089857	0.8806206453537802	2.5838748995134035	1.5047842815401238	0.3810735436976897	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	-1.4700218927617488	-0.0	2.219707908559099	0.0	-0.727563924386373	2.7665351832077008	-0.23391660891820865	-0.0	0.0	-0.0	-0.0	0.8806206453537802	0.0	1.5047842815401238	0.3810735436976897
360000	-1.3089309522591193	-2.7217937810903	2.202693729774968	-0.1133629528630555	-0.7443645912596347	2.9106699924701394	-0.2595856936394288	-3.2678294615181347	4.401582170313352	-0.23976535031363425	0.5165224938415861	0.6825212357666445	0.5260447962158742	2.087460884486744	0.3937136336567844	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	-1.3089309522591193	-0.0	2.202693729774968	-0.0	-0.7443645912596347	2.9106699924701394	-0.2595856936394288	-0.0	0.0	-0.0	0.0	0.6825212357666445	0.0	2.087460884486744	0.3937136336567844
380000	-1.3580245912992395	-5.774508338044155	2.046897729103993	0.9511410811828431	-0.7673567354656153	2.662000566037297	-0.3118847283379423	0.3978683424342411	3.3889136584187116	-2.9768833676677517	1.1253301590086195	0.8131559078940406	2.9012977199830257	2.5497299720470457	0.5132932100564107	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	-1.3580245912992395	-0.0	2.046897729103993	0.0	-0.7673567354656153	2.662000566037297	-0.3118847283379423	0.0	0.0	-0.0	0.0	0.8131559078940406	0.0	2.5497299720470457	0.5132932100564107
