# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 29 09:34:30 CST 2025 [seed=1748482469345]
# H7glm.xml
state	country.coefficients1	country.coefficients2	country.coefficients3	country.coefficients4	country.coefficients5	country.coefficients6	country.coefficients7	country.coefficients8	country.coefficients9	country.coefficients10	country.coefficients11	country.coefficients12	country.coefficients13	country.coefIndicators1	country.coefIndicators2	country.coefIndicators3	country.coefIndicators4	country.coefIndicators5	country.coefIndicators6	country.coefIndicators7	country.coefIndicators8	country.coefIndicators9	country.coefIndicators10	country.coefIndicators11	country.coefIndicators12	country.coefIndicators13	country.coefficientsTimesIndicators1	country.coefficientsTimesIndicators2	country.coefficientsTimesIndicators3	country.coefficientsTimesIndicators4	country.coefficientsTimesIndicators5	country.coefficientsTimesIndicators6	country.coefficientsTimesIndicators7	country.coefficientsTimesIndicators8	country.coefficientsTimesIndicators9	country.coefficientsTimesIndicators10	country.coefficientsTimesIndicators11	country.coefficientsTimesIndicators12	country.coefficientsTimesIndicators13
340000	-3.571566584948823	-0.39887807433030686	-4.526250712700228	3.4491776467113002	-0.45561945785829244	2.233470715413903	2.0146369717059933	2.327220561040825	2.298645754302815	-0.08415566530287522	0.8018336264306173	-0.7494107207858096	5.389829544713784	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	-0.0	-0.0	-0.0	0.0	-0.45561945785829244	0.0	0.0	2.327220561040825	0.0	-0.0	0.8018336264306173	-0.7494107207858096	0.0
360000	-4.888806319585797	0.8698926593683461	-5.333907235294237	0.23269705423706885	-0.6087743653368348	-1.288426414044382	-0.3891849360383915	2.1204255390336852	0.9954952188308513	0.669087522370493	0.6931248437648025	-0.7336195291377448	3.417859852059877	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	-0.0	0.0	-0.0	0.23269705423706885	-0.6087743653368348	-0.0	-0.0	2.1204255390336852	0.0	0.0	0.6931248437648025	-0.7336195291377448	0.0
380000	-1.5117443732476719	-1.1540019754454682	-1.3581856862503972	0.23271244764611726	-0.6129740969639462	-1.526951402865814	-0.7728715077288847	1.8218534491892027	0.031161958248059285	4.437440392866497	0.4614216625340869	-0.8950012127338134	4.1625788836251445	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	-0.0	-0.0	-0.0	0.23271244764611726	-0.6129740969639462	-0.0	-0.0	1.8218534491892027	0.0	0.0	0.4614216625340869	-0.8950012127338134	0.0
400000	-1.7131134390424012	-1.5785639737140627	1.4455381196660713	0.13991712327919903	-0.5146646069741105	0.3001762519022212	0.47023198371130603	1.9374445675579366	-0.1163562374827657	-1.5273938732163779	0.627481503342968	-0.9784449977334332	1.9330341770445445	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	-0.0	-0.0	0.0	0.13991712327919903	-0.5146646069741105	0.0	0.0	1.9374445675579366	-0.1163562374827657	-0.0	0.627481503342968	-0.9784449977334332	0.0
420000	-1.0326725089200262	-0.581742416484966	2.417937929786959	0.15848806224521267	-0.5156804422584356	0.8267337480585703	0.14520093015302	1.9723485263096265	-0.11859209162155467	-2.4034177399648655	0.6878198563846146	-1.0186597218684739	2.074951620458406	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	-0.0	-0.0	0.0	0.15848806224521267	-0.5156804422584356	0.0	0.14520093015302	1.9723485263096265	-0.11859209162155467	-0.0	0.6878198563846146	-1.0186597218684739	0.0
440000	-0.6198782649353143	0.6826676759708233	0.11165194217516862	0.2838249004982119	-0.6285355212307561	0.16440344032988535	-1.8972038988435922	2.059971032461171	0.5407832588325655	1.826676727713754	0.6246544167808533	-0.9129764230969614	5.821061798712449	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	-0.0	0.0	0.0	0.2838249004982119	-0.6285355212307561	0.0	-0.0	2.059971032461171	0.0	0.0	0.6246544167808533	-0.9129764230969614	0.0
460000	2.7043014062695203	-0.7791238676843467	-2.37907000321343	0.2623388484417673	-0.6063107642324657	-1.2269930849681487	-1.509856777675604	1.764085487789833	-4.024216645931576	-0.45634301669897626	0.5647390862492497	-1.1045543245094307	1.9954042367286804	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	-0.0	-0.0	0.2623388484417673	-0.6063107642324657	-0.0	-0.0	1.764085487789833	-0.0	-0.0	0.5647390862492497	-1.1045543245094307	0.0
480000	5.511079988999122	-5.774622705349998	-1.2214895481059942	0.2611217524086044	-0.520764560554517	2.073263598614621	-3.9720508089169018	2.071214774284412	-1.9058300799900543	-1.715456600303869	0.6517021024123932	-1.0691942400675367	0.7247275593843514	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	-0.0	-0.0	0.2611217524086044	-0.520764560554517	0.0	-0.0	2.071214774284412	-0.0	-0.0	0.6517021024123932	-1.0691942400675367	0.0
500000	3.9721353111998705	-3.7994763101284024	-4.128911333962479	2.8714218712888897	-0.5549470721475779	2.1043437392089985	1.355602138848838	2.0340244087070003	0.6173794502626385	-1.0983536210122877	0.6720489541814473	-0.9938412189233481	2.227834205182315	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	-0.0	-0.0	0.0	-0.5549470721475779	0.0	0.0	2.0340244087070003	0.0	-0.0	0.6720489541814473	-0.9938412189233481	0.0
520000	-1.1273677799229342	-0.6831935468060678	-3.0271149261999906	0.22745771224109793	-0.6431133842315357	2.2911914880547797	0.15798202749971668	2.347297406706643	-0.6930159090022366	2.1813531737635277	0.8674389448844849	-1.5656330527545972	-0.0832279686315559	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	-0.0	-0.0	-0.0	0.22745771224109793	-0.6431133842315357	0.0	0.0	2.347297406706643	-0.0	0.0	0.8674389448844849	-1.5656330527545972	-0.0
540000	2.0856051172957253	-2.394235532753712	1.1622894962692984	0.380348120341266	-0.7008730578198615	-2.0456965605937367	-2.353972726412517	2.032992642976465	-1.0750843173790317	4.083858198448163	0.6148904646896846	-0.9931696844022303	-0.21772710375654303	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.0	0.0	0.380348120341266	-0.7008730578198615	-0.0	-0.0	2.032992642976465	-0.0	0.0	0.6148904646896846	-0.9931696844022303	-0.21772710375654303
